Date,Filename,model_type,beam_size,use_context,confidence_based,num_workers,confidence_limit,Max. chunk time,Min. chunk time,Avg. chunk time,Word Error Rate (WER),Word Information Loss (WIL),Total Transcription Time,Total GPU VRAM Usage,Total GPU Clock Speed,Peak GPU VRAM Usage,Peak GPU Clock Speed,Avg. GPU VRAM Usage,Avg. GPU Clock Speed,Total RAM Usage,Peak RAM Usage,Avg. RAM Usage
2024-12-12 16:28:51.770,32-0.8.pkl,distil-small.en,3,True,True,1,0.4,3417.0577526,106.9767475,953.4852240,62.0,71.9,17162.734031677246,5598.0,27885,311.0,1590,311.0,1549.1666666666667,27.885574340820312,1.5724868774414062,1.5491985744900174
2024-12-12 16:29:17.159,32-0.8.pkl,distil-small.en,3,True,True,1,0.4,3052.2527695,151.2854099,1232.6119873,66.3,80.3,22187.015771865845,5598.0,28380,311.0,1590,311.0,1576.6666666666667,32.14102554321289,1.8407821655273438,1.785612530178494
2024-12-12 16:29:37.923,32-0.8.pkl,distil-small.en,3,True,True,1,0.4,2779.7267437,191.3554668,979.2660475,67.5,74.1,17626.788854599,5598.0,27885,311.0,1590,311.0,1549.1666666666667,33.85831069946289,1.9574623107910156,1.8810172610812717
2024-12-12 16:30:01.858,32-0.8.pkl,distil-small.en,3,True,True,1,0.6,3113.3079529,414.0672684,1149.8506202,52.1,61.7,20697.31116294861,5598.0,28410,311.0,1590,311.0,1578.3333333333333,33.7121467590332,1.9790191650390625,1.8728970421685114
2024-12-12 16:30:17.783,32-0.8.pkl,distil-small.en,3,True,True,1,0.6,2006.8380833,144.1991329,722.8982978,39.9,51.3,13012.169361114502,5598.0,28200,311.0,1590,311.0,1566.6666666666667,35.88017654418945,2.0701522827148438,1.9933431413438585
2024-12-12 16:30:35.233,32-0.8.pkl,distil-small.en,3,True,True,1,0.6,2446.4571476,187.7272129,793.7413587,81.0,83.8,14287.344455718994,5630.0,28200,343.0,1590,312.77777777777777,1566.6666666666667,37.06740188598633,2.1545257568359375,2.059300104777018
2024-12-12 16:31:04.779,32-0.8.pkl,distil-small.en,3,True,True,1,0.8,2971.4899063,428.4448624,1463.3032084,39.3,47.4,26339.457750320435,5598.0,28050,311.0,1590,311.0,1558.3333333333333,35.75463104248047,2.206432342529297,1.986368391248915
2024-12-12 16:31:47.202,32-0.8.pkl,distil-small.en,3,True,True,1,0.8,3472.3386765,425.7354736,2180.2151601,89.0,96.5,39243.87288093567,5598.0,28425,311.0,1590,311.0,1579.1666666666667,34.526493072509766,2.0552406311035156,1.9181385040283203
2024-12-12 16:32:14.762,32-0.8.pkl,distil-small.en,3,True,True,1,0.8,2501.1308193,287.8520489,1356.2580347,38.0,46.6,24412.644624710083,5598.0,28425,311.0,1590,311.0,1579.1666666666667,29.827072143554688,1.7462272644042969,1.657059563530816
2024-12-12 16:32:42.654,32-0.8.pkl,distil-small.en,3,True,True,4,0.4,2356.4949036,515.0554180,1362.6870447,54.6,61.9,24528.366804122925,6732.0,28500,375.0,1590,374.0,1583.3333333333333,34.51282501220703,1.9903602600097656,1.917379167344835
2024-12-12 16:33:11.588,32-0.8.pkl,distil-small.en,3,True,True,4,0.4,3452.3229599,441.1869049,1432.4681229,68.1,77.9,25784.42621231079,6750.0,28335,375.0,1590,375.0,1574.1666666666667,32.91265106201172,1.9442253112792969,1.8284806145562067
2024-12-12 16:33:34.502,32-0.8.pkl,distil-small.en,3,True,True,4,0.4,2968.8138962,405.1022530,1104.4422521,185.3,98.3,19879.960536956787,6750.0,28305,375.0,1590,375.0,1572.5,35.75080490112305,2.0753135681152344,1.9861558278401692
2024-12-12 16:33:59.517,32-0.8.pkl,distil-small.en,3,True,True,4,0.6,2932.6124191,418.3464050,1219.2646662,66.9,70.9,21946.76399230957,6750.0,28335,375.0,1590,375.0,1574.1666666666667,36.519290924072266,2.0711669921875,2.0288494957817926
2024-12-12 16:34:31.194,32-0.8.pkl,distil-small.en,3,True,True,4,0.6,3408.2140923,344.4788456,1583.0866231,71.8,75.4,28495.559215545654,6174.0,28335,343.0,1590,343.0,1574.1666666666667,35.55803298950195,2.183807373046875,1.975446277194553
2024-12-12 16:34:53.829,32-0.8.pkl,distil-small.en,3,True,True,4,0.6,4241.2679195,140.4144764,1082.5896396,49.7,57.6,19486.613512039185,6750.0,28410,375.0,1590,375.0,1578.3333333333333,38.50263214111328,2.1756973266601562,2.139035118950738
2024-12-12 16:35:10.727,32-0.8.pkl,distil-small.en,3,True,True,4,0.8,1359.3797684,380.7168007,762.6762390,56.4,61.5,13728.172302246094,6174.0,28365,343.0,1590,343.0,1575.8333333333333,39.85371017456055,2.28863525390625,2.2140950096978083
2024-12-12 16:35:23.504,32-0.8.pkl,distil-small.en,3,True,True,4,0.8,1031.8841934,167.4854755,530.4300520,98.2,98.6,9547.740936279297,6750.0,28185,375.0,1590,375.0,1565.8333333333333,37.711700439453125,2.1721420288085938,2.095094468858507
2024-12-12 16:35:40.304,32-0.8.pkl,distil-small.en,3,True,True,4,0.8,2570.1165199,372.1532822,752.6706060,57.7,61.3,13548.070907592773,6174.0,28440,343.0,1590,343.0,1580.0,38.49020004272461,2.2105255126953125,2.1383444468180337
2024-12-12 16:35:45.838,32-0.8.pkl,distil-small.en,3,True,False,1,N/A,230.4193974,98.2725620,131.1734120,27.6,37.4,2361.121416091919,5742.0,24555,319.0,1575,319.0,1364.1666666666667,42.75182342529297,2.401195526123047,2.3751013014051647
2024-12-12 16:35:51.120,32-0.8.pkl,distil-small.en,3,True,False,1,N/A,197.1933842,86.6601467,123.5111819,27.6,37.4,2223.201274871826,5742.0,27150,319.0,1575,319.0,1508.3333333333333,45.94392776489258,2.608478546142578,2.552440431382921
2024-12-12 16:35:56.438,32-0.8.pkl,distil-small.en,3,True,False,1,N/A,206.2430382,88.1974697,128.4587251,27.6,37.4,2312.2570514678955,5742.0,25680,319.0,1575,319.0,1426.6666666666667,46.4862060546875,2.6362953186035156,2.5825670030381946
2024-12-12 16:36:01.873,32-0.8.pkl,distil-small.en,3,True,False,4,N/A,227.7214527,99.4343758,136.3538106,27.6,37.4,2454.3685913085938,6158.0,24315,343.0,1470,342.1111111111111,1350.8333333333333,43.38311004638672,2.4695816040039062,2.410172780354818
2024-12-12 16:36:07.624,32-0.8.pkl,distil-small.en,3,True,False,4,N/A,228.2292843,104.5780182,140.8531798,27.6,37.4,2535.3572368621826,6158.0,24225,343.0,1455,342.1111111111111,1345.8333333333333,38.03659439086914,2.1467132568359375,2.113144132826063
2024-12-12 16:36:13.257,32-0.8.pkl,distil-small.en,3,True,False,4,N/A,236.1295223,102.3325920,138.7975481,27.6,37.4,2498.3558654785156,6158.0,24480,343.0,1575,342.1111111111111,1360.0,42.020790100097656,2.4126625061035156,2.3344883388943143
2024-12-12 16:36:19.036,32-0.8.pkl,distil-small.en,3,False,True,1,0.4,391.3240433,101.7124653,146.9486422,47.2,50.6,2645.075559616089,5742.0,26265,319.0,1545,319.0,1459.1666666666667,40.27665328979492,2.2840652465820312,2.237591849433051
2024-12-12 16:36:24.591,32-0.8.pkl,distil-small.en,3,False,True,1,0.4,263.7231350,95.1440334,136.4240117,32.5,42.4,2455.632209777832,5742.0,25680,319.0,1545,319.0,1426.6666666666667,43.04941940307617,2.4447364807128906,2.3916344112820096
2024-12-12 16:36:30.179,32-0.8.pkl,distil-small.en,3,False,True,1,0.4,273.6973763,101.8137932,142.4633794,32.5,42.4,2564.340829849243,5742.0,25230,319.0,1515,319.0,1401.6666666666667,46.21483612060547,2.6599464416503906,2.567490895589193
2024-12-12 16:36:35.691,32-0.8.pkl,distil-small.en,3,False,True,1,0.6,251.1055470,93.9972401,135.2833509,32.5,42.4,2435.100317001343,5742.0,25965,319.0,1530,319.0,1442.5,43.695579528808594,2.492919921875,2.427532196044922
2024-12-12 16:36:40.971,32-0.8.pkl,distil-small.en,3,False,True,1,0.6,170.5353260,92.7639008,129.8683352,32.5,42.4,2337.630033493042,5742.0,26295,319.0,1575,319.0,1460.8333333333333,45.3638801574707,2.5570220947265625,2.520215564303928
2024-12-12 16:36:46.442,32-0.8.pkl,distil-small.en,3,False,True,1,0.6,272.1078396,101.4678478,142.0698431,32.5,42.4,2557.2571754455566,5742.0,25155,319.0,1515,319.0,1397.5,49.22779083251953,2.8272361755371094,2.734877268473307
2024-12-12 16:36:52.004,32-0.8.pkl,distil-small.en,3,False,True,1,0.8,245.6097603,96.9307423,143.7070502,35.0,43.3,2586.7269039154053,5742.0,26640,319.0,1590,319.0,1480.0,50.6112174987793,2.8834609985351562,2.8117343054877386
2024-12-12 16:36:58.015,32-0.8.pkl,distil-small.en,3,False,True,1,0.8,380.8777332,101.3090611,156.9022338,41.7,47.8,2824.240207672119,5742.0,25230,319.0,1590,319.0,1401.6666666666667,47.47360610961914,2.725269317626953,2.637422561645508
2024-12-12 16:37:03.730,32-0.8.pkl,distil-small.en,3,False,True,1,0.8,353.0254364,102.9925346,155.8410592,41.7,47.8,2805.1390647888184,5742.0,25005,319.0,1560,319.0,1389.1666666666667,43.36555099487305,2.466236114501953,2.409197277492947
