
i,min_chunk_size,speech_threshold,timer_type,timer_value
1,8,0.6,VADFilterTime,100.3
1,8,0.6,frontendToBackendSendTime,20.42724609375
1,8,0.6,backendToFrontendSendTime,4.57275390625
1,8,0.6,chunkRoundTripTime,25
1,8,0.6,chunkProcessTime,764.5
1,8,0.6,frontendToBackendSendTime,31.8232421875
1,8,0.6,backendToFrontendSendTime,2.1767578125
1,8,0.6,chunkRoundTripTime,34
1,8,0.6,chunkProcessTime,1430.0999999940395
1,8,0.6,frontendToBackendSendTime,24.712890625
1,8,0.6,backendToFrontendSendTime,1.287109375
1,8,0.6,chunkRoundTripTime,26
1,8,0.6,chunkProcessTime,758.7999999970198
1,8,0.6,frontendToBackendSendTime,18.7265625
1,8,0.6,backendToFrontendSendTime,4.2734375
1,8,0.6,chunkRoundTripTime,23
1,8,0.6,chunkProcessTime,761.1999999955297
1,8,0.6,frontendToBackendSendTime,23.484619140625
1,8,0.6,backendToFrontendSendTime,1.515380859375
1,8,0.6,chunkRoundTripTime,25
1,8,0.6,chunkProcessTime,762.6000000014901
1,8,0.6,frontendToBackendSendTime,23.68408203125
1,8,0.6,backendToFrontendSendTime,3.31591796875
1,8,0.6,chunkRoundTripTime,27
1,8,0.6,chunkProcessTime,753.8999999985099
1,8,0.6,frontendToBackendSendTime,20.427001953125
1,8,0.6,backendToFrontendSendTime,0.572998046875
1,8,0.6,chunkRoundTripTime,21
1,8,0.6,chunkProcessTime,765.7000000029802
1,8,0.6,frontendToBackendSendTime,18.097412109375
1,8,0.6,backendToFrontendSendTime,5.902587890625
1,8,0.6,chunkRoundTripTime,24
1,8,0.6,chunkProcessTime,1345.3999999985099
1,8,0.6,frontendToBackendSendTime,21.827880859375
1,8,0.6,backendToFrontendSendTime,3.172119140625
1,8,0.6,chunkRoundTripTime,25
1,8,0.6,chunkProcessTime,753.2000000029802
1,8,0.6,frontendToBackendSendTime,23.34228515625
1,8,0.6,backendToFrontendSendTime,0.65771484375
1,8,0.6,chunkRoundTripTime,24
1,8,0.6,chunkProcessTime,762.5
1,8,0.6,frontendToBackendSendTime,27.00244140625
1,8,0.6,backendToFrontendSendTime,1.99755859375
1,8,0.6,chunkRoundTripTime,29
1,8,0.6,chunkProcessTime,762.8999999985099
1,8,0.6,frontendToBackendSendTime,24.185546875
1,8,0.6,backendToFrontendSendTime,2.814453125
1,8,0.6,chunkRoundTripTime,27
1,8,0.6,chunkProcessTime,1137.8000000044703
1,8,0.6,frontendToBackendSendTime,25.38330078125
1,8,0.6,backendToFrontendSendTime,1.61669921875
1,8,0.6,chunkRoundTripTime,27
1,8,0.6,chunkProcessTime,760.2999999970198
1,8,0.6,frontendToBackendSendTime,26.969482421875
1,8,0.6,backendToFrontendSendTime,1.030517578125
1,8,0.6,chunkRoundTripTime,28
1,8,0.6,chunkProcessTime,758.6999999955297
1,8,0.6,frontendToBackendSendTime,28.27294921875
1,8,0.6,backendToFrontendSendTime,1.72705078125
1,8,0.6,chunkRoundTripTime,30
1,8,0.6,chunkProcessTime,760.6999999955297
1,8,0.6,frontendToBackendSendTime,15.7236328125
1,8,0.6,backendToFrontendSendTime,4.2763671875
1,8,0.6,chunkRoundTripTime,20
1,8,0.6,chunkProcessTime,1044.5
1,8,0.6,frontendToBackendSendTime,27.34033203125
1,8,0.6,backendToFrontendSendTime,1.65966796875
1,8,0.6,chunkRoundTripTime,29
1,8,0.6,chunkProcessTime,1140.5
1,8,0.6,frontendToBackendSendTime,23.7802734375
1,8,0.6,backendToFrontendSendTime,0.2197265625
1,8,0.6,chunkRoundTripTime,24
1,8,0.6,chunkProcessTime,766.2000000029802
1,8,0.6,frontendToBackendSendTime,15.5576171875
1,8,0.6,backendToFrontendSendTime,7.4423828125
1,8,0.6,chunkRoundTripTime,23
1,8,0.6,chunkProcessTime,764.5
1,8,0.6,frontendToBackendSendTime,24.8056640625
1,8,0.6,backendToFrontendSendTime,1.1943359375
